AUTOR,TÍTULO,ISBN,GERAL,PARTICULAR,PAIS,TÓPICO,GEOGRAFIA,CLÁSSICO,CRÍTICA,LOVE,REL,TEMPO,PENSAMENTO,SECULO,CDD,VOL,COL,EDITORA,IDIOMA,ANO,PÁG
"Dick, Philip K.",Blade Runner (Androides sonham com ovelhas elétricas?),978-85-7657-440-8,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,N,S,N,N,F,P,XX,813.08,1,0,Aleth,Português,2019,283
"Dick, Philip K.",O homem do castelo alto,978-85-7657-441-5,Ficção,Ficção norte americana,EUA,Ficção científica,América do norte,N,S,N,N,F,P,XX,813.08,1,0,Aleth,Português,2019,312
"Dostoievski, Fiodor M.",Crime e castigo,,Romance,Romance russo,Rússia,Clássicos,Asia,S,N,N,N,P,T,XIX,,1,,Martin Claret,Português,2021,780
"Dostoiévski, Fiodor M.",Os irmãos Karamazóv,978-65-5910-009-5,Romance,Romance russo,Rússia,Clássicos,Asia,S,N,N,N,P,T,XIX,891.7,1,0,Martin Claret,Português,2020,1251
"Dostoiévski, Fiodor M.",Notas do subsolo,978-85-254-1717-6,Novela,,Rússia,Clássicos,Asia,S,S,N,N,P,T,XIX,891.73,1,0,L&PM Pocket,Português,2021,160
"Dostoiévski, Fiodor M.",Noites brancas e A árvore de Natal na casa do Cristo ,978-85-209-3080-9,Contos  ,Conto russo,Rússia,Clássicos,Asia,S,N,S,N,P,P,XIX,891.73,1,0,Nova fronteira,Português,2018,75
"Escrivá de Balaguer, São Josemaria",Caminho,978-85-54991-30-2,Cristianismo,Vida espiritual,Espanha,Meditações,Europa,N,N,N,S,C,T,XX,248.4,1,0,Quadrante,Português,2019,350
"Fast, Howard",Spartacus,978-85-7799-049-8,Ficção,Ficção norte americana,EUA,Roma ,América do norte,N,N,N,N,C,D,XX,813.0,1,0,BestBolso,Português,2007,428
"Fest, Joachim",No bunker de Hitler: os ultimos dias do terceiro Reich,978-85-7302-990-1,Biografia,Nazismo,Alemanha,História alemã,Europa,N,N,N,N,C,P,XX,923.5,,0,Objetiva,Português,2009,215
"Fitzgerald, F. Scott",O último magnata,978-85-440-0222-3,Ficção ,Ficção norte americana,EUA,,América do norte,N,N,N,N,C,D,XX,813.0,,,Martin Claret,Português,2019,200
"Fülöp-Miller, René",Os Santos que abalaram o mundo,978-85-03-00824-2,Biografia,Santos cristãos,Áustria,Igreja Católica,Europa,N,N,N,N,C,T,XX,922.2,1,0,José Olympio,Português,2023,430
"Garcia Marquez, Gabriel",Cem anos de solidão ,85-7402-493-7,Romance,Romance colombiano ,Colômbia ,Clássicos ,América latina,S,N,N,N,C,D,XX,868.99,1,,Folha,Português ,2003,383
"García Marquez, Gabriel",Relato de um náufrago,85-01-01120-7,Biografia,Biografia colombiana,Colômbia,Sobrevivência,América latina,N,N,N,N,C,D,XX,910.09,1,0,Record,Português,2005,134
"Goethe, Johann Wolfgang",Os sofrimentos do jovem Werther,978-85-254-1044-3,Literatura alemã,Romance alemão,Alemanha,Romantismo,Europa,S,N,S,N,P,D,XVIII,833.6,1,0,L&PM Pocket,Português,2020,192
"Gomes, Laurentino",1808,978-85-7665-320-2,História,História do Brasil,Brasil,Brasil Colônia,América latina,N,S,N,N,P,T,XXI,981.0,1,0,Planeta,Português,2010,367
"Gonzaga, Tomás Antônio",Marília de Dirceu & Cartas Chilenas,85-08-06409-8,Poesia ,Poesia brasileira,Brasil,Arcadismo,América latina,S,N,N,N,C,D,XVIII,869.1,1,0,Ática,Português,1997,176
"Grisham, John",Os litigantes,978-85-325-2759-2,Ficção,Ficção norte americana,EUA,Suspense,América do norte,N,N,N,N,C,D,XXI,813.0,1,27,Rocco,Português,2012,447
"Grisham, John",O advogado,85-325-0891-X,Ficção,Ficção norte americana,EUA,Suspense,América do norte,N,N,N,N,C,D,XX,813.0,1,10,Rocco,Português,1998,352
"Grisham, John",A confissão,978-85-325-2654-0,Ficção,Ficção norte americana,EUA,Suspense,América do norte,N,N,N,N,C,D,XXI,813.0,1,25,Rocco,Português,2011,477
"Grisham, John",A intimação,85-325-1435-9,Ficção,Ficção norte americana,EUA,Suspense,América do norte,N,N,N,N,C,D,XXI,813.0,1,15,Rocco,Português,2002,283
"Grisham, John",O rei das fraudes,85-325-1651-3,Ficção,Ficção norte americana,EUA,Suspense,América do norte,N,N,N,N,C,D,XXI,813.0,1,17,Rocco,Português,2003,372
"Grisham, John",O recurso,978-85-325-0912-3,Ficção,Ficção norte americana,EUA,Indústria química,América do norte,N,N,N,N,C,D,XXI,813.0,1,22,Rocco,Português,2008,380
"Hahn, Scott",Razões para Crer,978-85-84970-04-9,Cristianismo,Igreja Católica,EUA,Apologética,América do norte,N,N,N,S,C,T,XXI,232.9,1,0,Cleófas,Português,2019,224
"Harari, Yuval Noah",Sapiens,978-0-099-59008-8,História,História da civilização,Israel,Antropologia,Asia,N,S,N,N,C,T,XXI,909.83,1,1,Vintage,Inglês,2015,498
"Harari, Yuval Noah",Homo Deus,978-1-784-70393-6,História,História da civilização,Israel,Antropologia,Asia,N,S,N,N,C,T,XXI,909.83,1,2,Vintage,Inglês,2017,513
"Harris, Thomas",O silêncio dos inocentes,978-85-7799-062-7,Ficção,Ficção norte americana,EUA,Ficção policial,América do norte,S,N,N,N,C,D,XX,813.0,,,BestBolso,Português,2015,390
"Hatoum, Milton",Dois irmãos,978-85-359-0833-6,Romance,Romance brasileiro,Brasil,,América latina,N,N,N,N,C,D,XX,869.93,1,0,Companhia de bolso,Português,2017,198
"Hawking, Stephen",O universo numa casca de noz,978-85-209-3003-8,Física,Mecânica quântica,Inglaterra,Física quântica,Europa,N,N,N,N,C,T,XXI,530.12,1,0,Saraiva,Português,2012,240
"Heller, Joseph",Ardil-22,978-85-7799-159-4,Ficção,Ficção norte americana,EUA,Militar,América do norte,N,N,N,N,C,D,XX,813.0,1,0,BestBolso,Português,2010,560
"Hemingway, Ernest",O velho e o mar e outros contos,,Contos,Conto norte americano,EUA,,América do norte,S,N,N,N,C,D,XXI,813.52,1,0,Civilização brasileira,Português,1973,276
Homero,A Odisseia,978-65-5552-158-0,Poesia,Literatura grega,Grécia Antiga,Poema épico,Europa,S,N,N,N,P,P,antes de Cristo,883.0,1,,Principis,Português,2020,320
"Hoppe, Hans-Hermann","Democracia, o deus que falhou",978-85-8119-079-2,Filosofia,Ciência política,Alemanha,Democracia,Europa,N,S,N,N,C,T,XXI,321.8,1,0,Mises Brasil,Português,2014,372
"Huxley, Aldous",Admirável mundo novo,978-85-250-4661-1,Romance,Romance inglês,Inglaterra,Ficção científica,Europa,N,S,N,N,F,P,XX,823.0,1,0,Globo,Português,2009,397
"Isaacson, Walter",Steve Jobs,978-85-359-1971-4,Biografia,Empresário,EUA,,América do norte,N,N,N,N,C,P,XXI,338.76,1,0,Companhia das Letras,Português,2011,607
"Joyce, James",Retrato do artista quando jovem,978-85-7799-353-6,Romance,Romance irlandês,Irlanda,,Europa,S,N,N,N,C,D,XX,828.99,1,0,BestBolso,Português,2012,293
"Kempis, Tomás de",Imitação de Cristo,,Cristianismo,Meditações,França,Igreja Católica,Europa,N,N,N,S,P,T,XV,242.0,1,0,Vozes,Português,2020,317
"Kiyosaki, Robert T.","Pai rico, pai pobre",978-85-352-0623-4,Economia,Finanças pessoais,EUA,Investimentos,América do norte,N,N,N,N,C,D,XX,332.02,1,0,Elsevier,Português,2000,186
"Laurie, Hugh",O vendedor de armas,978-85-7665-483-4,Ficção,Ficção inglesa,Inglaterra,Ficção policial,Europa,N,N,N,N,C,D,XX,823.0,1,0,Planeta,Português,2010,287
"Levitt & Dubner, Steven D. e Stephen J.",Freakonomics e Superfreakonomics,978-85-352-5608-6,Economia,Sociologia,EUA,Filosofia,América do norte,N,S,N,N,C,T,XXI,330.0,1,0,Elsevier,Português,2012,561
"Lewis, C. S.",A abolição do homem,978-85-7860-1898,Filosofia,Religião,Inglaterra,Cristianismo,Europa,N,S,N,S,C,T,XX,210.0,1,0,Thomas Nelson,Português,2017,128
"Lewis, C. S.",Cartas de um diabo a seu aprendiz,978-85-7860-1843,Cristianismo,Filosofia,Inglaterra,Religião,Europa,N,S,N,S,C,P,XX,248.0,1,0,Thomas Nelson,Português,2017,208
"Lewis, C. S.",Cristianismo puro e simples,978-85-7860-1775,Cristianismo,Vida cristã,Inglaterra,,Europa,N,N,N,S,C,T,XX,248.4,1,0,Thomas Nelson,Português,2017,288
"Lewis, C. S.",O peso da glória,978-85-7860-0655,Cristianismo,Teologia,Inglaterra,Sermões,Europa,N,N,N,S,C,T,XX,252.03,1,0,Thomas Nelson,Português,2017,192
"Lewis, C. S.",Os quatro amores,978-85-7860-1959,Casamento,Relacionamento amoroso,Inglaterra,Amor,Europa,N,N,N,S,C,P,XX,646.78,1,0,Thomas Nelson,Português,2017,192
"Lewontin, R. C.",Biologia como ideologia,85-87528-20-3,Biologia,Filosofia,EUA,Genética,América do norte,N,S,N,N,C,T,XX,570.1,1,0,FUNPEC,Português,2010,138
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,1,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,2,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,3,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,4,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,5,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,6,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,7,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,8,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,9,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,P,T,XX,900.0,1,10,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,C,T,XX,900.0,1,11,Grolier,Português,1972,
Librairie Hachette,Historama: a grande aventura do homem,,História,História da civilização,,,Mundo,N,N,N,N,C,T,XX,900.0,1,12,Grolier,Português,1972,
"Lins do Rego, José",Menino do engenho,85-03-00341-4,Romance,Romance brasileiro,Brasil,Abolicionismo,América latina,S,N,N,N,C,D,XX,869.93,1,0,José Olympio,Português,1996,88
"Lispector, Clarice",A paixão segundo G. H.,978-65-5532-006-0,Romance,Romance brasileiro,Brasil,,América latina,S,N,N,N,C,P,XX,869.3,1,0,Rocco,Português,2020,188
"Lobato, Monteiro",Caçadas de Pedrinho,978-85-250-6089-1,Ficção,Ficção brasileira,Brasil,Infanto-juvenil,América latina,N,N,N,N,C,D,XIX,028.5,1,,Globo,Português,2020,168
"Lobato, Monteiro",Mister Slang e o Brasil,978-85-250-4564-5,Política,Política brasileira,Brasil,Saúde pública,América latina,N,N,N,N,C,D,XX,320.98,1,0,Globo,Português,2020,139
"Lobato, Monteiro",Prefácios e entrevistas,978-85-250-4719-9,Coletâneas,Coletânea brasileira,Brasil,Pré-modernismo,América latina,N,N,N,N,C,D,XX,320.98,1,0,Globo,Português,2020,240
"Lobato, Monteiro","Fragmentos, opiniões  e miscelâneas",978-85-250-4814-1,Artigos jornalísticos,Coletânea brasileira,Brasil,Coletâneas,América latina,N,S,N,N,C,D,XX,704.4,1,0,Globo,Português,2020,289
"Lobato, Monteiro",Cidades mortas,978-85-250-4625-3,Contos,Conto brasileiro,Brasil,,América latina,N,N,N,N,C,D,XX,869.93,1,0,Globo,Português,2020,192
"Lobato, Monteiro",América,978-85-250-4674-1,História,História norte americana,Brasil,Descrição e viagens,América latina,N,N,N,N,C,D,XX,917.3,1,0,Globo,Português,2020,270
"Lovecraft, H. P.",O horror em Red Hook e outras histórias,978-85-254-2652-9,Conto,Conto norte americano,EUA,Terror,América do norte,N,N,N,N,C,D,XX,813.0,1,0,L&PM Pocket,Português,2012,64
"Ludlum, Robert",A identidade Bourne,978-85-254-1902-6,Ficção ,Ficção norte americana,EUA,,América do norte,N,N,N,N,C,D,XX,813.0,1,0,Rocco,Português,2011,592
Machado de Assis,Quincas borba,85-08-04084-9,Romance,Romance brasileiro,Brasil,Modernismo,América latina,S,N,N,N,P,D,XIX,869.3,1,0,Ática,Português,1997,214
Machado de Assis,O Alienista,85-08-04083-0,Ficção,Ficção brasileira,Brasil,Realismo,América latina,S,N,N,N,P,D,XIX,869.3,1,0,Ática,Português,1996,70
Maquiavel,O principe,978-85-7232-267-6,Ciência política,Napoleão Bonaparte,Itália,Clássicos,Europa,S,S,N,N,P,P,XV,320.0,1,0,Martin Claret,Português,2007,177
Marco Aurélio,Meditações,978-65-5552-205-1,Filosofia,Literatura grega,Grécia Antiga,Estoicismo,Europa,S,S,N,N,P,P,II,883.0,1,0,Principis,Português,2020,128
"Marsili, Mila",O mínimo sobre relacionamentos,978-65-85033-14-5,Vida familiar,Relacionamento amoroso,Brasil,Guia,América latina,N,S,N,N,C,P,XXI,646.78,1,0,O mínimo,Português,2023,132
"Marx e Engels, Karl e Friederich",Manifesto do partido comunista,978-85-7283-902-0,Comunismo,Manifesto comunista,Alemanha,Ciência política,Europa,S,S,N,N,P,P,XIX,335.42,1,0,Edipro,Português,2020,110
"Mathers, Edward P.",A mandíbula de Caim,978-65-5560-442-9,Ficção,Ficção inglesa,Inglaterra,Policial,Europa,N,N,N,N,C,T,XX,823.0,1,0,Intrinseca,Português,2022,216
"Morrow, Thomas G.",O namoro cristão em um mundo supersexualizado,978-85-7465-144-6,Relacionamento amoroso,Cristianismo,EUA,Igreja Católica,América do norte,N,S,N,N,C,P,XXI,241.6,1,0,Quadrante,Português,2021,215
"Murakami, Haruki",Norwegian wood,978-85-60281-52-7,Romance ,Romance japonês,Japão,,Asia,N,N,N,N,C,D,XX,895.63,1,0,Alfaguara,Português,2022,359
"Nabokov, Vladimir",Lolita,,Romance,Romance russo,EUA,Clássicos,América do norte,S,S,N,N,C,P,XX,813.5,1,,Folha,Português,,
"Ortega y Gasset, José",A rebelião das massas,978-85-67394-82-4,História,História da civilização e cultura,Espanha,Ciência política,Europa,S,S,N,N,C,T,XX,901.9,1,0,Vide editorial,Português,2016,361
"Orwell, George",Revolução dos bichos,978-85-359-0955-5,Ficção,Ficção inglesa,Inglaterra,,Europa,S,S,N,N,F,P,XX,823.0,1,0,Companhia das Letras,Português,2021,147
"Orwell, George",1984,978-65-86064-37-7,Ficção,Ficção inglesa,Inglaterra,Ficção científica,Europa,S,S,N,N,F,P,XX,823.91,1,0,Aleth,Português,2021,400
"Paiva, Marcelo Rubens",Feliz ano velho,978-85-7962-419-3,Memórias,Literatura brasileira,Brasil,,América latina,N,S,N,N,C,D,XX,869.93,1,0,Alfaguara,Português,2015,272
"Panicacci, Fausto",A ilha e o espelho,978-65-88370-33-9,Ficção,Ficção brasileira,Brasil,Contemporânea,América latina,N,N,N,N,C,D,XXI,869.0,1,0,Maquinaria,Português,2022,304
"Peterson, Jordan B.",12 regras para a vida,978-85-508-0275-6,Autoajuda,Vida,Canadá,Regras,América do norte,N,S,N,N,C,P,XXI,158.1,1,1,Alta Books,Português,2018,448
"Pio X, São",Catecismo Maior de São Pio X,978-85-8543-221-8,Igreja Católica,Catecismo,Vaticano,Cristianismo,Europa,N,N,N,S,C,T,XX,238.2,1,0,Permanência,Português,2010,240
"Queiros, Eçá de",O primo Basílio,,Romance,Romance português,Portugal,Realismo,Europa,S,N,N,N,P,D,XIX,869.33,1,0,Nova cultural,Português,-,319
"Ramos, Graciliano",Vidas Secas,978-65-5587-791-5,Romance,Romance brasileiro,Brasil,Sertão nordestino,América latina,S,N,N,N,C,D,XX,869.1,1,0,Record,Português,2024,181
"Ramos, Graciliano",Caétes,978-85-7799-293-5,Ficção,Ficção brasileira,Brasil,Clássicos,América latina,S,N,S,N,C,D,XX,869.93,1,0,BestBolso,Português,2012,196
"Ramos, Graciliano",São Bernardo,978-85-7799-293-5,Ficção,Ficção brasileira,Brasil,Clássicos,América latina,S,N,N,N,C,D,XX,869.93,1,0,BestBolso,Português,2012,154
"Rand, Ayn",A revolta de Atlas,978-85-99296-83-7,Ficção,Ficção norte americana,EUA,Libertarianismo,América do norte,S,S,N,N,C,P,XX,813.0,1,1,Arqueiro,Português,2010,351
"Rand, Ayn",A revolta de Atlas,978-85-99296-83-7,Ficção,Ficção norte americana,EUA,Libertarianismo,América do norte,S,S,N,N,C,P,XX,813.0,1,2,Arqueiro,Português,2010,381
"Rand, Ayn",A revolta de Atlas,978-85-99296-83-7,Ficção,Ficção norte americana,EUA,Libertarianismo,América do norte,S,S,N,N,C,P,XX,813.0,1,3,Arqueiro,Português,2010,495
"Reilly, Matthew",Área 7,85-01-07086-6,Ficção,Ficção australiana,Austrália,Mistério,Oceania,N,N,N,N,C,D,XXI,808.99,1,0,Record,Português,2006,501
"Rovelli, Carlo",A realidade não é o que parece,,Física,Teoria quântica,Itália,Filosofia,Europa,N,N,N,N,C,T,XXI,530.12,1,0,Objetiva,Português,2017,290
"Sagan, Carl",Contato,978-85-359-1351-4,Ficção ,Ficção norte americana,EUA,Ficção científica,América do norte,N,N,N,N,C,T,XX,813.08,1,0,Companhia de bolso,Português,2008,435
"Salinger, J. D.",O apanhador no campo de centeio,978-65-80309030,Ficção,Ficção norte americana,EUA,Clássicos,América do norte,S,N,N,N,C,D,XX,813,1,,Editora do Autor,Português,1965,180
"Saramago, José",Ensaio sobre a lucidez,978-85-359-3035-1,Romance,Romance português,Portugal,Clássicos,Europa,N,S,N,N,C,D,XXI,869.3,1,0,Companhia das letras,Português,2017,325
"Shakespeare, William",Shakespeare's Sonnets,978-0-141-39622-4,Poema,Sonetos,Inglaterra,Clássicos,Europa,S,N,N,N,P,D,XVI,821.3,,,Penguin,Inglês,2015,154
"Shakespeare, William",O mercador de Veneza,978-85-209-2947-6,Teatro,Teatro inglês,Inglaterra,Clássicos,Europa,S,N,N,N,P,D,XVI,822.0,,,Nova fronteira,Português,2018,128
"Shakespeare, William",Macbeth,978-85-209-3477-7,Teatro,Teatro inglês,Inglaterra,Clássicos,Europa,S,N,N,N,P,D,XVI,822.0,,,Nova fronteira,Português,2017,120
"Shakespeare, William",Romeu e Julieta,978-85-254-0922-5,Teatro,Teatro inglês,Inglaterra,Clássicos,Europa,S,N,N,N,P,D,XVI,822.33,1,0,L&PM Pocket,Português,2018,160
"Shelley, Bruce L.",História do Cristianismo,978-85-7860-252-9,Cristianismo,História da Igreja,EUA,,América do norte,N,N,N,S,C,P,XXI,282.09,1,,Thomas Nelson,Português,2018,560
